instance,agent,mean_final_cum_reward,n_runs
clean,co_CO_full,689.0,1
clean,co_CO_full_max,689.0,1
clean,co_CO_mid,306.0,1
clean,co_CO_router,118.0,1
clean,last,115.0,1
clean,phase,923.0,1
clean,vom,114.0,1
